gesture,run,iteration,label,S11_0,S11_1,S11_2,S11_3,S11_4,S11_5,S11_6,S11_7,S11_8,S11_9,S11_10,S11_11,S11_12,S11_13,S11_14,S11_15,S11_16,S11_17,S11_18,S11_19,S11_20,S11_21,S11_22,S11_23,S11_24,S11_25,S11_26,S11_27,S11_28,S11_29,S11_30,S11_31,S11_32,S11_33,S11_34,S11_35,S11_36,S11_37,S11_38,S11_39,S11_40,S11_41,S11_42,S11_43,S11_44,S11_45,S11_46,S11_47,S11_48,S11_49,S11_50,S11_51,S11_52,S11_53,S11_54,S11_55,S11_56,S11_57,S11_58,S11_59,S11_60,S11_61,S11_62,S11_63,S11_64,S11_65,S11_66,S11_67,S11_68,S11_69,S11_70,S11_71,S11_72,S11_73,S11_74,S11_75,S11_76,S11_77,S11_78,S11_79,S11_80,S11_81,S11_82,S11_83,S11_84,S11_85,S11_86,S11_87,S11_88,S11_89,S11_90,S11_91,S11_92,S11_93,S11_94,S11_95,S11_96,S11_97,S11_98,S11_99,S21_0,S21_1,S21_2,S21_3,S21_4,S21_5,S21_6,S21_7,S21_8,S21_9,S21_10,S21_11,S21_12,S21_13,S21_14,S21_15,S21_16,S21_17,S21_18,S21_19,S21_20,S21_21,S21_22,S21_23,S21_24,S21_25,S21_26,S21_27,S21_28,S21_29,S21_30,S21_31,S21_32,S21_33,S21_34,S21_35,S21_36,S21_37,S21_38,S21_39,S21_40,S21_41,S21_42,S21_43,S21_44,S21_45,S21_46,S21_47,S21_48,S21_49,S21_50,S21_51,S21_52,S21_53,S21_54,S21_55,S21_56,S21_57,S21_58,S21_59,S21_60,S21_61,S21_62,S21_63,S21_64,S21_65,S21_66,S21_67,S21_68,S21_69,S21_70,S21_71,S21_72,S21_73,S21_74,S21_75,S21_76,S21_77,S21_78,S21_79,S21_80,S21_81,S21_82,S21_83,S21_84,S21_85,S21_86,S21_87,S21_88,S21_89,S21_90,S21_91,S21_92,S21_93,S21_94,S21_95,S21_96,S21_97,S21_98,S21_99
PalmarPinch,0,0,0,0.7496086,0.73900497,0.7337491,0.7249895,0.72385424,0.7178203,0.71493673,0.711375,0.7094658,0.7080018,0.71031314,0.7095382,0.7089651,0.70939946,0.70827913,0.71119833,0.71225387,0.70704216,0.7098553,0.7014764,0.69843036,0.69270545,0.68266886,0.6733156,0.66308916,0.65203935,0.64102995,0.62753034,0.61776376,0.60402006,0.5932229,0.5831963,0.5706497,0.559624,0.5492113,0.53997165,0.53186977,0.5206618,0.51019984,0.50360864,0.49343067,0.48268464,0.47231987,0.46211138,0.44951937,0.43515003,0.42022857,0.4042099,0.38661483,0.36556074,0.34385246,0.323345,0.29882553,0.27417353,0.24909855,0.2243034,0.19757776,0.17229009,0.14682022,0.11901614,0.09520102,0.07332859,0.052516676,0.0424773,0.047470704,0.06327316,0.085618876,0.10757514,0.12980957,0.1508265,0.17329885,0.1966414,0.21768628,0.24024926,0.26060218,0.28243253,0.30490735,0.32614347,0.3474897,0.3703483,0.39371178,0.4144899,0.43995842,0.4620115,0.4814828,0.50009805,0.5203446,0.53885764,0.5579213,0.57414377,0.5860657,0.5996769,0.6098401,0.6184979,0.62296253,0.6306464,0.63194185,0.63801265,0.639118,0.6452742,0.004205409,0.0043378794,0.004326061,0.0043572006,0.0045465175,0.004578481,0.0046386747,0.004864699,0.005057613,0.00518667,0.0053959973,0.005675376,0.0058917147,0.006158979,0.006422581,0.0067158253,0.007103608,0.007454045,0.007933504,0.008221917,0.008530689,0.008784954,0.009184933,0.00955355,0.009737953,0.0100115435,0.010219172,0.010331246,0.01057305,0.010671345,0.010913754,0.011099874,0.0112284655,0.01154785,0.01193191,0.012362962,0.012671802,0.013310267,0.013801061,0.014605267,0.015151815,0.015864793,0.016656943,0.017527748,0.018319288,0.019067237,0.01994722,0.020888463,0.02182245,0.022727046,0.023701515,0.024464434,0.02521144,0.025918053,0.026307866,0.026602326,0.02676813,0.026796574,0.026570529,0.026664782,0.026660856,0.026596507,0.026621934,0.02677382,0.027016588,0.027172523,0.027118912,0.027122887,0.02690893,0.026297705,0.025621427,0.024739573,0.023829354,0.022725094,0.021948332,0.020900158,0.019946449,0.019009944,0.018239537,0.017421618,0.016848926,0.016106736,0.015373743,0.014544935,0.013459103,0.012378966,0.011150858,0.010198401,0.009235859,0.008298718,0.007535335,0.00700502,0.0065131015,0.006155265,0.0060283025,0.005951917,0.0058474597,0.005917822,0.0059900396,0.0061508906
PalmarPinch,0,1,0,0.7482579,0.7402622,0.73294216,0.72615284,0.72501814,0.7186857,0.71118736,0.71271354,0.70990634,0.70807374,0.71073085,0.7095715,0.7093737,0.7121339,0.7113719,0.7141411,0.7140824,0.7102918,0.7098156,0.701818,0.70211756,0.6957608,0.685432,0.6751796,0.6634138,0.65150183,0.64315265,0.6284206,0.6198509,0.6065653,0.59514046,0.5843833,0.57203215,0.56141347,0.54940623,0.5448156,0.5322758,0.5248718,0.5136935,0.5041955,0.49634513,0.4855296,0.47421744,0.46400124,0.4507283,0.4357234,0.42075273,0.40436888,0.3882517,0.366124,0.3459923,0.32461345,0.29952618,0.27527517,0.24971515,0.22452998,0.19840018,0.17313737,0.14444998,0.11898554,0.093778014,0.07037481,0.051313847,0.039555646,0.044764142,0.062432736,0.084242135,0.10610597,0.13018666,0.15129277,0.1738679,0.19662312,0.217374,0.24015917,0.26114476,0.28249446,0.30396843,0.3266108,0.34763408,0.3683848,0.39221936,0.4156088,0.44049352,0.46248776,0.48183432,0.50203514,0.5202677,0.54067296,0.5569801,0.5748597,0.58728194,0.59992707,0.6091373,0.62015396,0.62589014,0.63042575,0.6346591,0.6359693,0.64002407,0.6468249,0.004121438,0.004110514,0.0042122854,0.0041743102,0.00436309,0.0043912013,0.0044394713,0.004585178,0.004782511,0.004887064,0.0050461134,0.00527155,0.0055003893,0.0057788687,0.0061083618,0.0063280314,0.0067237555,0.0071281507,0.00744695,0.0077668345,0.0085320845,0.008827501,0.009138277,0.009510132,0.009704603,0.00992245,0.010101234,0.010358204,0.010532028,0.01062002,0.010789312,0.011098358,0.011220361,0.011583787,0.011812682,0.012184437,0.012565697,0.013255096,0.013780408,0.014340073,0.014984503,0.015691107,0.016532041,0.01720805,0.01801309,0.018803608,0.019742351,0.020655023,0.02153187,0.022363828,0.023209186,0.023922818,0.024718337,0.025387282,0.025875876,0.026201092,0.026330711,0.026527068,0.026401937,0.026447387,0.02639628,0.026355833,0.026370585,0.026695225,0.026910316,0.02701602,0.026921695,0.02689878,0.026708111,0.026245726,0.025626492,0.02462745,0.023703191,0.022542559,0.021540169,0.02050839,0.019678663,0.018957928,0.018357638,0.017669627,0.017143365,0.01639134,0.015636442,0.014714923,0.013661701,0.012635894,0.011441975,0.010242461,0.009202096,0.0082578715,0.007545177,0.0069209426,0.006520549,0.006166913,0.0060075773,0.0059356894,0.005932778,0.0060452623,0.0060590426,0.0062249494
PalmarPinch,0,2,0,0.7497678,0.7393737,0.73317635,0.7246018,0.7241588,0.7190262,0.7122615,0.7124992,0.70970666,0.7071577,0.7116105,0.71168786,0.71044654,0.71277577,0.7127183,0.7124887,0.7151573,0.70984465,0.7101381,0.70173275,0.7026956,0.68764585,0.6862871,0.6778095,0.667993,0.6543875,0.6447176,0.63233835,0.61998206,0.6095214,0.599582,0.58846045,0.5751808,0.56448215,0.55405533,0.5417212,0.5375741,0.5225666,0.51563287,0.5060741,0.4962902,0.48646674,0.474708,0.46454203,0.45166448,0.43790114,0.4220937,0.40499103,0.38838524,0.36633718,0.34424368,0.32340953,0.2987495,0.27397093,0.24811955,0.2241911,0.1977951,0.17166235,0.14412735,0.11717975,0.093354754,0.07088887,0.05153497,0.04103967,0.045375537,0.06342196,0.08490603,0.10557616,0.12795623,0.14989318,0.17214648,0.19435562,0.2160112,0.23827848,0.26048788,0.28111628,0.303394,0.32487485,0.3465491,0.3686818,0.39156932,0.41421437,0.43889907,0.46037236,0.48102736,0.5012816,0.52091366,0.5397255,0.55671513,0.5734361,0.58664626,0.59874225,0.6062746,0.61682194,0.6238484,0.6299223,0.6330256,0.63630867,0.64055955,0.64770836,0.0042884005,0.0043147816,0.004424139,0.004490349,0.004595418,0.0046590804,0.0047074533,0.0048243986,0.0050834245,0.0053301523,0.0054896763,0.0058191894,0.006033651,0.0063923965,0.0066627264,0.0069063385,0.007217561,0.0076446305,0.008046989,0.008288422,0.008534186,0.008767213,0.009183908,0.009526692,0.009762674,0.009917441,0.010274943,0.0104291355,0.010704653,0.010743512,0.0108808605,0.0110199945,0.011185531,0.011609255,0.011854688,0.012296998,0.012706877,0.013300658,0.013848232,0.014484821,0.015130175,0.015895316,0.016656013,0.017426671,0.018229878,0.019043373,0.01998963,0.021070007,0.021939635,0.022908876,0.023800908,0.024597086,0.025430135,0.026159793,0.026437644,0.026625553,0.026810674,0.026815115,0.026758093,0.026827537,0.026788631,0.026733441,0.026700364,0.026871115,0.027041517,0.027263427,0.027120205,0.026943857,0.02682947,0.026240436,0.0255935,0.02474032,0.023871426,0.022790253,0.021758724,0.020659203,0.019793425,0.019034814,0.018347604,0.017733008,0.016991036,0.016208109,0.015688453,0.014913888,0.013984796,0.0127995545,0.011512041,0.010459879,0.009365968,0.00842748,0.0076124542,0.007089795,0.006729715,0.00636309,0.006188352,0.00604028,0.006107565,0.006035411,0.0061499174,0.0062949336
PalmarPinch,0,3,0,0.7491356,0.73888654,0.73564273,0.72609526,0.72391146,0.71874344,0.7163929,0.71288574,0.711226,0.70932037,0.71142626,0.7119396,0.71041095,0.711794,0.71212506,0.7153613,0.716161,0.71066993,0.7097705,0.7033239,0.7030482,0.6887307,0.68490744,0.6769246,0.6673884,0.65435255,0.6443648,0.6310053,0.6193738,0.6081742,0.59801435,0.58652747,0.5757128,0.562535,0.55178016,0.5430082,0.537654,0.52409905,0.51345176,0.5063429,0.49628833,0.48579156,0.47380403,0.46393427,0.45056123,0.43717945,0.42104414,0.40451223,0.38496637,0.36621746,0.34543416,0.32467726,0.30059427,0.27489033,0.25064838,0.22542243,0.19867064,0.17210083,0.14607435,0.119787835,0.094741784,0.07063302,0.05155182,0.03962152,0.044152964,0.061411664,0.08215968,0.104942575,0.12660547,0.15048303,0.17392479,0.19397141,0.21625842,0.23839472,0.26083636,0.2817721,0.30291352,0.32387492,0.3460163,0.3693558,0.39338902,0.41166928,0.43956718,0.4601223,0.4813549,0.50226,0.5200401,0.53985333,0.5575259,0.57359564,0.5865222,0.5996279,0.6083285,0.6178925,0.6261449,0.6297783,0.63164526,0.63384026,0.64155334,0.64412004,0.0042484174,0.0043488136,0.004301316,0.004447073,0.0045009684,0.004602937,0.004647005,0.004820442,0.004983403,0.0052624196,0.0054965755,0.0056845094,0.0059188115,0.0063013756,0.0065702465,0.006978098,0.0074114436,0.007752863,0.00811218,0.008466476,0.008940493,0.009177615,0.0096106455,0.009835651,0.010203789,0.010394436,0.010681648,0.010808659,0.011005041,0.011147523,0.011308779,0.0115537355,0.011754334,0.012023815,0.01215513,0.012596029,0.0130605055,0.013624691,0.014096873,0.014765936,0.015331663,0.01607363,0.016879437,0.017630368,0.018432152,0.019151356,0.020034175,0.020966839,0.021812204,0.022770688,0.023610918,0.024428155,0.025265805,0.025868554,0.02644162,0.02669082,0.026871515,0.026915332,0.026864715,0.027032759,0.027025659,0.02711084,0.02709332,0.02738002,0.02765584,0.02770551,0.027698401,0.027709916,0.027524408,0.026970083,0.026298154,0.02532893,0.024292435,0.023212595,0.022100287,0.021037264,0.019985624,0.019276222,0.018482765,0.017723938,0.017138358,0.016516203,0.015748255,0.014810405,0.013760517,0.012703764,0.011584204,0.0102896225,0.00934115,0.008413878,0.0076401243,0.0070569064,0.0066476474,0.0063763107,0.0062363716,0.0062519386,0.0062008635,0.0062337285,0.006315281,0.0064209816
PalmarPinch,0,4,0,0.7502071,0.74033636,0.7330507,0.7247715,0.72369075,0.7184296,0.714227,0.7129391,0.71155816,0.709604,0.71113116,0.7114087,0.71101236,0.7114742,0.7127482,0.71503514,0.7163022,0.7118827,0.7089451,0.7037757,0.70218325,0.698908,0.68632114,0.67799574,0.66708785,0.6542488,0.64594185,0.63169533,0.6213413,0.60947573,0.5991718,0.5870659,0.5738681,0.56443334,0.55278397,0.54487807,0.5367407,0.52312803,0.5131472,0.50494486,0.49586192,0.4850019,0.47518086,0.46406668,0.45091558,0.43674675,0.42212024,0.40411493,0.38714245,0.36724937,0.34509212,0.3252248,0.2997469,0.27620816,0.25051236,0.22575693,0.19846119,0.17320348,0.1452099,0.119355984,0.095183,0.07257034,0.051916067,0.040121626,0.044070054,0.06167658,0.08312199,0.104811504,0.12767456,0.14992756,0.173204,0.19377203,0.2164018,0.2378881,0.26028654,0.28058857,0.30307123,0.32569855,0.34806833,0.36790654,0.39245835,0.4137824,0.4385069,0.46169025,0.48167723,0.50181806,0.52132124,0.54132086,0.55865425,0.5757625,0.58715045,0.6003052,0.60909486,0.6200536,0.6247461,0.63169765,0.634823,0.6355269,0.64090705,0.64633375,0.0042708423,0.004226886,0.004328054,0.004385124,0.004466623,0.0044930447,0.00465443,0.004862107,0.005006939,0.0051571606,0.0053052697,0.0055574905,0.0059826556,0.0061469437,0.006453634,0.0067404816,0.007131255,0.007540378,0.007872882,0.008279977,0.008709377,0.009120826,0.0094470605,0.009713837,0.010003694,0.010286212,0.010460018,0.010580611,0.010847069,0.010892674,0.011177557,0.011310925,0.011504608,0.011839002,0.012147969,0.0126535855,0.013031159,0.0135680325,0.0140707325,0.014790568,0.015383835,0.01601519,0.016945256,0.017615834,0.018413227,0.019148285,0.02003232,0.020993685,0.02189254,0.022851624,0.023749627,0.024535507,0.025206484,0.02596175,0.02644236,0.026781721,0.026902325,0.02699345,0.026971811,0.027078876,0.02711158,0.027118873,0.027151676,0.027267931,0.027627915,0.02775135,0.027597388,0.027571741,0.027364893,0.026796978,0.026054686,0.025076697,0.024079433,0.02301407,0.021761019,0.020778187,0.019912135,0.019041212,0.018341172,0.017527737,0.016854271,0.016119238,0.0154413935,0.014592751,0.013582206,0.01252915,0.011294651,0.0102308495,0.009289624,0.008369883,0.0076133492,0.007053015,0.0065886737,0.006296666,0.006120948,0.0061113173,0.0060706353,0.0061408714,0.0062008696,0.0063664485
PalmarPinch,0,5,0,0.7486937,0.7382249,0.7333096,0.7242012,0.72149885,0.71731484,0.71430063,0.7124612,0.7079313,0.7047487,0.71122676,0.7094103,0.70629203,0.7092415,0.7077685,0.7117376,0.7125017,0.70608264,0.7048547,0.6982561,0.6942811,0.6876848,0.6762947,0.6671727,0.6558967,0.64343673,0.63615227,0.62328064,0.6113983,0.600387,0.5883346,0.57666594,0.56624645,0.55543315,0.5433242,0.53601325,0.5262703,0.51781684,0.5072205,0.49995685,0.4903951,0.4792668,0.46868798,0.4592435,0.44659096,0.4317441,0.41824844,0.40093538,0.38253766,0.362705,0.3445576,0.32285577,0.2977132,0.27497506,0.2490654,0.22385535,0.19928074,0.17412132,0.14684059,0.12022319,0.09678416,0.07420727,0.05746827,0.046083238,0.04939116,0.066249035,0.08744423,0.10744363,0.12926388,0.15220833,0.17479296,0.19684847,0.21727718,0.24079883,0.2628535,0.28211027,0.30466896,0.326664,0.347687,0.37013006,0.39274025,0.41516784,0.43952706,0.46068725,0.48170483,0.50184625,0.5214168,0.54052037,0.55811304,0.57437474,0.58658314,0.59854877,0.60683584,0.6183282,0.6242405,0.6282793,0.63392276,0.6358014,0.6388678,0.6448045,0.0037694129,0.0038071577,0.0038765573,0.003970748,0.0040090317,0.004194391,0.0042884517,0.004606858,0.004704628,0.0049026,0.0052767475,0.005518122,0.005638219,0.005948929,0.0062940093,0.0066863867,0.0071009444,0.0073413765,0.0076324046,0.008061272,0.008638416,0.008962493,0.009195705,0.009693033,0.010135157,0.010415115,0.0104892375,0.010755129,0.01106378,0.011020036,0.01141735,0.011635194,0.011843757,0.0122817345,0.012588571,0.012993343,0.013467004,0.014169109,0.014882706,0.015606016,0.016409809,0.017135499,0.017877141,0.01863191,0.019492228,0.020180285,0.020901732,0.021796204,0.02272525,0.023600068,0.02443292,0.025251636,0.026124567,0.026933607,0.02714716,0.027555278,0.02753242,0.027804412,0.02774693,0.027892021,0.027677106,0.027832149,0.02792009,0.028139984,0.028445825,0.02849293,0.028435493,0.02830905,0.028126637,0.027598761,0.026806077,0.025643991,0.02463851,0.023505894,0.022324868,0.020963773,0.019973371,0.019379247,0.018448027,0.017584492,0.017024286,0.016320102,0.015588681,0.014673471,0.013700933,0.012682283,0.011496856,0.010299936,0.009201539,0.008266825,0.007442255,0.006877756,0.0063416865,0.0059460024,0.0058678286,0.005773416,0.0056682113,0.005745949,0.005835284,0.005894767
PalmarPinch,0,6,0,0.74910545,0.73917663,0.7320971,0.72476685,0.72345066,0.71797985,0.7149293,0.71301883,0.708054,0.7069561,0.7097651,0.70951223,0.70833695,0.7086459,0.7099051,0.712725,0.712798,0.70765674,0.7096708,0.7029495,0.6985826,0.68500096,0.6822801,0.67415375,0.6634839,0.6508513,0.64466083,0.628974,0.61707884,0.6060979,0.59526455,0.5838607,0.57194734,0.56130433,0.5505286,0.54081994,0.53113675,0.5213433,0.5126201,0.5039,0.49459615,0.48442763,0.47211894,0.4619739,0.44962895,0.43562084,0.4209136,0.40438676,0.38912103,0.36491355,0.34624738,0.32420206,0.3004359,0.27551186,0.2504492,0.22451583,0.1984826,0.17415597,0.14740406,0.11936925,0.09693471,0.07404,0.05352915,0.043614857,0.045292124,0.062206164,0.08257769,0.104439564,0.12597457,0.14951833,0.16959928,0.19274527,0.21462706,0.23769751,0.259765,0.28106603,0.30312914,0.32596073,0.3470872,0.37042978,0.39508525,0.41742775,0.44145086,0.46174183,0.4826914,0.50141716,0.52096057,0.541636,0.5587378,0.57494324,0.58785635,0.59936655,0.6076197,0.6190575,0.6241714,0.6305949,0.63217443,0.63550466,0.6407947,0.6456837,0.0036421707,0.0037766108,0.003816899,0.003937671,0.0039864145,0.0041925274,0.0041311705,0.0043173707,0.0045821504,0.0047619343,0.005027559,0.005217887,0.005553473,0.005795191,0.00613284,0.0064853737,0.0068829027,0.0073808273,0.007873744,0.008217889,0.008400888,0.008621751,0.009154451,0.009609963,0.009940142,0.010220087,0.010474403,0.010750952,0.011057743,0.011044637,0.011359419,0.011621377,0.011831099,0.012229303,0.012673139,0.013098729,0.01364537,0.0142745515,0.014848538,0.015564086,0.016205395,0.016902335,0.017656693,0.01851056,0.019285701,0.020001706,0.020891609,0.021799996,0.022704836,0.023630604,0.024324393,0.025142666,0.025899023,0.026524084,0.026960995,0.027194079,0.027213195,0.027402015,0.027218776,0.027342778,0.02738224,0.02734235,0.027357059,0.027595986,0.027763389,0.02784939,0.027697757,0.027665135,0.027365735,0.02689928,0.02616008,0.025179153,0.024298804,0.023112506,0.022027183,0.021032626,0.020028325,0.019264532,0.018598042,0.017855855,0.01724523,0.016599726,0.01587952,0.015011029,0.013897221,0.012833578,0.011736607,0.010625738,0.009520516,0.008523231,0.007689804,0.0069797896,0.006523586,0.0060950643,0.0058697336,0.0058428207,0.0057811434,0.0058605163,0.0058896267,0.006006028
PalmarPinch,0,7,0,0.7503765,0.7391176,0.7331872,0.72441834,0.7233894,0.71777797,0.71384734,0.7111278,0.71168506,0.7085013,0.7103709,0.71018076,0.70952946,0.71125567,0.7098657,0.712134,0.7140003,0.70972407,0.7098239,0.70195043,0.7018022,0.6966649,0.6855446,0.67663336,0.6640404,0.6533439,0.6463683,0.63165313,0.6203241,0.60808593,0.5974089,0.58642,0.5731644,0.5619261,0.55044776,0.54008955,0.5346975,0.52397394,0.514268,0.5040642,0.49629885,0.48448506,0.47458145,0.46452343,0.45138842,0.43599242,0.42099082,0.40610787,0.38764167,0.36703658,0.3447667,0.32516482,0.30078948,0.27599916,0.25020683,0.22484331,0.19812012,0.17300001,0.14574741,0.11886569,0.09540085,0.07192495,0.051833767,0.041889668,0.044805065,0.06279366,0.08340883,0.1055395,0.12655659,0.15109648,0.17314701,0.194463,0.2165126,0.23789696,0.2606573,0.28188524,0.30216777,0.32470757,0.3477323,0.36879095,0.3929737,0.4151051,0.44090632,0.4624845,0.48264226,0.50060886,0.52320534,0.54191774,0.55872035,0.5759198,0.58809334,0.5998758,0.6084572,0.6199926,0.62320185,0.63000476,0.63171136,0.63706714,0.63929826,0.6463177,0.0036240679,0.0037488642,0.0037970615,0.0038737804,0.0039984486,0.0041476954,0.004292037,0.0044537243,0.0045716357,0.004776022,0.0049717636,0.0053137625,0.005569511,0.005883955,0.0062051113,0.0065377136,0.007036223,0.00738846,0.007824997,0.008250451,0.008714273,0.009137392,0.009553544,0.0099347625,0.010308156,0.010604224,0.010851413,0.011063171,0.011338783,0.011471267,0.011711886,0.012002084,0.012261206,0.012544931,0.012914975,0.013407071,0.0138378935,0.014561851,0.015135575,0.015833208,0.016523901,0.017185826,0.0180778,0.019030562,0.019822882,0.020523986,0.021398302,0.022406654,0.023246787,0.024228597,0.025035266,0.025868425,0.026696926,0.027365286,0.027648069,0.028037159,0.027950302,0.02798364,0.0277334,0.027817901,0.027756905,0.027705349,0.027672768,0.027769923,0.028018372,0.02803816,0.027894808,0.027741542,0.027577458,0.027207578,0.02637323,0.025439557,0.024434382,0.023309352,0.02210901,0.021047063,0.020070793,0.019361306,0.018558843,0.01775718,0.017242923,0.016591497,0.015866885,0.014961993,0.0138971405,0.012776343,0.011643528,0.01057509,0.009441451,0.008515603,0.007638925,0.0071518873,0.006474922,0.0061495192,0.0058815447,0.005779714,0.0057754703,0.005772262,0.0058408324,0.006000642
PalmarPinch,0,8,0,0.7485877,0.738619,0.73297316,0.7248883,0.7236755,0.7184204,0.71162784,0.7117189,0.70944303,0.70783323,0.7111062,0.7096429,0.7088995,0.7115929,0.7100749,0.7133521,0.71431214,0.70929796,0.71009815,0.7024762,0.70104545,0.68754923,0.6851217,0.6778193,0.66563743,0.65360534,0.64548546,0.6317411,0.62218213,0.6075392,0.5988062,0.5870971,0.5740032,0.5641531,0.55352247,0.544503,0.5349455,0.525247,0.51435673,0.5045412,0.4967591,0.48656482,0.47544873,0.46514255,0.4533212,0.43813786,0.42282027,0.40806478,0.38788784,0.36812833,0.34911954,0.32549676,0.30063218,0.2767144,0.2501644,0.22613046,0.19829436,0.1740692,0.14647768,0.119131185,0.095825076,0.07049701,0.052273553,0.04091264,0.045477197,0.06100505,0.083617754,0.10450151,0.12691541,0.14958133,0.17197424,0.19429052,0.21396607,0.2380143,0.25908312,0.2816717,0.30123425,0.3251543,0.34649032,0.37035948,0.39412388,0.41407037,0.4399046,0.46365514,0.48109838,0.50295067,0.5202823,0.5416327,0.5584261,0.5747031,0.58811903,0.6017126,0.6088532,0.6198292,0.6207022,0.6320504,0.6327551,0.634813,0.6406863,0.6446057,0.0036745297,0.003709976,0.003834374,0.00391533,0.0040180376,0.004148968,0.0042416635,0.0044854223,0.0046762917,0.004826501,0.0050504124,0.0052881646,0.0056019756,0.0059695,0.0062416736,0.0066534085,0.007084924,0.007465723,0.007900769,0.008206065,0.008659631,0.0089313295,0.009462452,0.009826453,0.010168937,0.010468407,0.010788428,0.010970882,0.01130105,0.011373974,0.011706226,0.011907721,0.012127559,0.012559086,0.012926545,0.013378324,0.013819713,0.014500902,0.015050354,0.015796246,0.016374571,0.01710569,0.017948525,0.018813726,0.01963888,0.020293541,0.02121433,0.022203747,0.023062415,0.023919227,0.024838418,0.025654307,0.026374172,0.02708937,0.02749758,0.027761737,0.027987167,0.028016698,0.027952295,0.028039277,0.028033555,0.028095145,0.027971907,0.028246442,0.02838486,0.028516239,0.028443607,0.028429912,0.028035501,0.02752191,0.026874498,0.025762204,0.024730463,0.023500059,0.02232193,0.021222219,0.02025328,0.019430073,0.018624865,0.017886205,0.017073063,0.016319385,0.015683493,0.014753384,0.013666266,0.012558195,0.0112693105,0.010208542,0.009062595,0.008152976,0.0073342687,0.0067478395,0.006195236,0.0058821766,0.0056893155,0.0056511587,0.00554391,0.0055612777,0.0056896065,0.00583292
PalmarPinch,0,9,0,0.7480732,0.73793197,0.7317599,0.7235937,0.7220866,0.7176257,0.7108056,0.71127754,0.7084766,0.7065426,0.708001,0.71054524,0.71045125,0.7095101,0.71246684,0.713913,0.71469057,0.7097794,0.7114784,0.7034651,0.7008089,0.69660825,0.6843508,0.6742808,0.66632307,0.6520056,0.6457114,0.63129115,0.6202729,0.6084993,0.5996412,0.5856519,0.5740394,0.56160855,0.5565542,0.5421601,0.5349712,0.5256925,0.5158223,0.50558054,0.49831182,0.48814228,0.47604913,0.46614334,0.45308983,0.435465,0.42360723,0.40726703,0.3907444,0.36847758,0.34706134,0.32649022,0.30079013,0.27673346,0.25110814,0.22580643,0.19844672,0.17258711,0.14524435,0.11754124,0.09504293,0.069626,0.05052905,0.039342616,0.044521686,0.06336477,0.08340746,0.107519396,0.12864041,0.15180796,0.17316994,0.19441879,0.21627724,0.23871097,0.2598316,0.28193852,0.30212495,0.3263247,0.34545463,0.36963865,0.39196515,0.41598362,0.43997955,0.46084353,0.48035005,0.50227076,0.5198175,0.54000527,0.5574845,0.5736749,0.5863003,0.59874165,0.60872185,0.6191533,0.62294626,0.6286864,0.63231385,0.6360621,0.63842136,0.64349926,0.0037810134,0.0038206885,0.0038344509,0.0039870683,0.003960976,0.0041095093,0.004226185,0.0043579745,0.0045692846,0.004705712,0.0049358527,0.005256301,0.005549532,0.005742929,0.0061304998,0.0064443545,0.006870097,0.00727786,0.0077083106,0.008099221,0.008727462,0.009211995,0.0095231235,0.010054061,0.010374013,0.010609929,0.01091355,0.011126246,0.011339176,0.011603529,0.011811938,0.012051709,0.012161813,0.012525152,0.0129865715,0.013394277,0.0138607845,0.014499969,0.015103293,0.015763836,0.016462259,0.017277347,0.018132387,0.018753788,0.019657247,0.020349547,0.021289794,0.022239953,0.023241162,0.024158392,0.024944518,0.025796624,0.026636273,0.02735853,0.027780913,0.028077725,0.028183501,0.02832971,0.028209057,0.028277714,0.028304586,0.028259385,0.02832031,0.028572774,0.028638259,0.028675701,0.02859253,0.02854556,0.028268578,0.02770049,0.026880141,0.025868967,0.02476865,0.023542967,0.02245346,0.02132801,0.020401508,0.019603506,0.018680166,0.018065928,0.017443812,0.01672006,0.015897466,0.0150068095,0.013915622,0.012832596,0.01158572,0.010445423,0.009335555,0.008336014,0.0074994955,0.00686101,0.006331092,0.0059319064,0.005739546,0.0056322557,0.005573497,0.0056242584,0.0056797476,0.0057358127
