gesture,iteration,label,S11_0,S11_1,S11_2,S11_3,S11_4,S11_5,S11_6,S11_7,S11_8,S11_9,S11_10,S11_11,S11_12,S11_13,S11_14,S11_15,S11_16,S11_17,S11_18,S11_19,S11_20,S11_21,S11_22,S11_23,S11_24,S11_25,S11_26,S11_27,S11_28,S11_29,S11_30,S11_31,S11_32,S11_33,S11_34,S11_35,S11_36,S11_37,S11_38,S11_39,S11_40,S11_41,S11_42,S11_43,S11_44,S11_45,S11_46,S11_47,S11_48,S11_49,S11_50,S11_51,S11_52,S11_53,S11_54,S11_55,S11_56,S11_57,S11_58,S11_59,S11_60,S11_61,S11_62,S11_63,S11_64,S11_65,S11_66,S11_67,S11_68,S11_69,S11_70,S11_71,S11_72,S11_73,S11_74,S11_75,S11_76,S11_77,S11_78,S11_79,S11_80,S11_81,S11_82,S11_83,S11_84,S11_85,S11_86,S11_87,S11_88,S11_89,S11_90,S11_91,S11_92,S11_93,S11_94,S11_95,S11_96,S11_97,S11_98,S11_99,S11_100,S11_101,S11_102,S11_103,S11_104,S11_105,S11_106,S11_107,S11_108,S11_109,S11_110,S11_111,S11_112,S11_113,S11_114,S11_115,S11_116,S11_117,S11_118,S11_119,S11_120,S11_121,S11_122,S11_123,S11_124,S11_125,S11_126,S11_127,S11_128,S11_129,S11_130,S11_131,S11_132,S11_133,S11_134,S11_135,S11_136,S11_137,S11_138,S11_139,S11_140,S11_141,S11_142,S11_143,S11_144,S11_145,S11_146,S11_147,S11_148,S11_149,S11_150,S11_151,S11_152,S11_153,S11_154,S11_155,S11_156,S11_157,S11_158,S11_159,S11_160,S11_161,S11_162,S11_163,S11_164,S11_165,S11_166,S11_167,S11_168,S11_169,S11_170,S11_171,S11_172,S11_173,S11_174,S11_175,S11_176,S11_177,S11_178,S11_179,S11_180,S11_181,S11_182,S11_183,S11_184,S11_185,S11_186,S11_187,S11_188,S11_189,S11_190,S11_191,S11_192,S11_193,S11_194,S11_195,S11_196,S11_197,S11_198,S11_199
PalmarPinch,0,0,0.83708954,0.8266582,0.81863195,0.8095178,0.80980974,0.8039485,0.79980177,0.7965527,0.7956877,0.79018354,0.79461336,0.7918882,0.7919896,0.7917736,0.7895025,0.793618,0.78914046,0.7802798,0.7787405,0.76619816,0.75652105,0.73909456,0.73278546,0.71822923,0.70253783,0.68693227,0.6711052,0.6558966,0.6439642,0.6292954,0.6217847,0.60797393,0.59567547,0.58264726,0.5734696,0.55869484,0.5486671,0.53614825,0.51607037,0.49709415,0.47789037,0.45334226,0.42426068,0.39230645,0.35474148,0.31294927,0.27409533,0.23705599,0.20434451,0.16871604,0.13407226,0.10667625,0.09028425,0.08848099,0.10306649,0.123327896,0.15398312,0.17799993,0.20376804,0.225534,0.23624378,0.24253015,0.24600746,0.25273973,0.26308802,0.26718712,0.26181322,0.2529961,0.24238816,0.23180749,0.21425688,0.18167432,0.14652304,0.1257189,0.11744013,0.13492703,0.1830095,0.24153264,0.30740908,0.3748894,0.43983582,0.5014013,0.55471504,0.6032353,0.63923836,0.67250085,0.69643444,0.7218295,0.73921543,0.75636643,0.767664,0.779141,0.7743665,0.78665215,0.7846783,0.7812131,0.78001267,0.77776843,0.7727441,0.7770221,0.029353796,0.03037484,0.031790707,0.03346799,0.035238486,0.03703536,0.03923823,0.042357035,0.04539854,0.048805885,0.05341633,0.05733868,0.06173623,0.06712929,0.071764424,0.0785368,0.084761746,0.09005572,0.0957364,0.102579504,0.1108205,0.115167476,0.121731795,0.12588799,0.13292287,0.1398665,0.14313932,0.14629881,0.1485066,0.15031587,0.151007,0.1512745,0.15526564,0.16159889,0.16819079,0.17629512,0.18604288,0.1965541,0.20701653,0.22332373,0.23982461,0.25508147,0.26884905,0.28243196,0.2919448,0.2992356,0.30310035,0.31015465,0.30972975,0.30861542,0.3034921,0.30281863,0.30341727,0.30558833,0.30450866,0.30918872,0.3094908,0.30820483,0.30377477,0.29885477,0.2914698,0.28349745,0.27680504,0.26897043,0.25618753,0.2450125,0.23653786,0.22814392,0.22233464,0.21348734,0.20494346,0.19337939,0.18112847,0.16617605,0.14791678,0.12712865,0.104492836,0.08334424,0.06308478,0.044830184,0.031830516,0.024202753,0.021314392,0.020909183,0.020566614,0.020113349,0.019101053,0.01786572,0.016653834,0.015003571,0.013746583,0.012564286,0.011646722,0.011296544,0.010764494,0.010388764,0.0101243025,0.009952112,0.009562119,0.009328081
PalmarPinch,1,0,0.83649707,0.8246942,0.8184923,0.809216,0.8082448,0.8035755,0.79543185,0.79836065,0.79330796,0.78919435,0.79369694,0.7939165,0.79197663,0.7904409,0.7910942,0.7915654,0.7905674,0.781581,0.7798902,0.76397187,0.75877476,0.74444157,0.7333731,0.71909654,0.7015684,0.68476796,0.6737067,0.6560734,0.64351267,0.63117594,0.62271446,0.6097156,0.5957312,0.5799409,0.5736041,0.56321174,0.5502031,0.53532666,0.5178542,0.49711487,0.477986,0.45264232,0.42371213,0.39067146,0.35598886,0.31222537,0.27384645,0.23696485,0.20320451,0.16837107,0.13550231,0.10779947,0.08987765,0.087561734,0.10369672,0.12291884,0.15445149,0.17686096,0.20487186,0.2258327,0.23597012,0.24275877,0.24547796,0.25328487,0.2627621,0.26796058,0.26225883,0.25277242,0.24157408,0.23278622,0.21359003,0.18160917,0.14702742,0.12474166,0.1176923,0.13553698,0.18210784,0.24281353,0.30774567,0.37360585,0.44003996,0.50266844,0.55709934,0.6012325,0.64043236,0.6732633,0.6985067,0.7216388,0.7392401,0.7562379,0.76750016,0.77781993,0.77813774,0.7863282,0.7827384,0.78196716,0.78136206,0.7770307,0.7734489,0.7764443,0.029372491,0.030281546,0.031745255,0.03351692,0.03519615,0.036999185,0.039037816,0.04238797,0.045332123,0.048773356,0.05348086,0.057447698,0.06169084,0.06705865,0.07185121,0.07830974,0.08491594,0.09009911,0.09580197,0.10229367,0.11096535,0.11630274,0.12156575,0.12586312,0.13295025,0.13975205,0.14322987,0.14613715,0.1485676,0.15047868,0.15116933,0.15130208,0.15554035,0.16167085,0.16804099,0.17712203,0.18621632,0.19674446,0.20780766,0.22331062,0.23987406,0.2548547,0.26786786,0.28124222,0.2912773,0.29892197,0.30320585,0.3103549,0.31014976,0.3080953,0.30365592,0.30257824,0.30281422,0.30505884,0.30524588,0.30810907,0.30935538,0.30824256,0.30394533,0.2992872,0.2915831,0.2834333,0.277003,0.26879355,0.25619057,0.2450267,0.23597434,0.22782238,0.22183654,0.21345639,0.20451473,0.19342645,0.18106826,0.16595273,0.14788625,0.12699272,0.10456051,0.083087385,0.063040994,0.04473459,0.031938583,0.024265265,0.021340631,0.020903086,0.020557115,0.020055233,0.019071365,0.017913744,0.016662158,0.014914857,0.013793349,0.012566156,0.011664603,0.011333642,0.010823291,0.0103726,0.010137731,0.009905275,0.009499282,0.009345472
PalmarPinch,2,0,0.83705544,0.8260536,0.8174543,0.80944824,0.80932975,0.80410266,0.79857785,0.79667044,0.7955128,0.7920496,0.795671,0.79674697,0.79150337,0.7930661,0.7900079,0.79298836,0.78980356,0.78139323,0.7777439,0.76594234,0.7610568,0.74187803,0.7338229,0.720492,0.7031163,0.68412715,0.67376494,0.6557806,0.6436441,0.6303297,0.6228592,0.61133677,0.59552383,0.58141625,0.5727675,0.5599811,0.55213445,0.5344466,0.5181594,0.49735644,0.4772305,0.45198846,0.4242233,0.38973856,0.3555515,0.31262794,0.27414253,0.2367412,0.20360813,0.16860662,0.13469565,0.106931984,0.08979478,0.08728079,0.10314655,0.12332691,0.15338686,0.17823774,0.20382127,0.22534193,0.23608963,0.24217646,0.24513994,0.25299618,0.2638139,0.26832846,0.2606715,0.25405887,0.24196723,0.23251806,0.21345802,0.18220142,0.14624715,0.12542693,0.11757704,0.13446926,0.18231378,0.24174578,0.30757272,0.37473917,0.43970925,0.5030057,0.55820733,0.6025599,0.64013505,0.67102736,0.69783115,0.72161955,0.7403898,0.75661427,0.7662332,0.7792893,0.77834445,0.7864256,0.78320336,0.7834587,0.7776653,0.77692246,0.7749043,0.77684367,0.029363139,0.03042691,0.031696122,0.033518765,0.035168912,0.03699325,0.03924273,0.04241881,0.04548713,0.048799656,0.05346902,0.057528317,0.06177189,0.067205526,0.071738385,0.07856465,0.08486543,0.09006181,0.095298834,0.1026401,0.11111291,0.11569815,0.121629536,0.12591034,0.13313271,0.1398544,0.14338951,0.14622009,0.14861307,0.15046015,0.15122889,0.15153292,0.15546156,0.16161303,0.16773029,0.17656095,0.18644124,0.1962415,0.20756301,0.22341238,0.23925224,0.25533074,0.2683596,0.2816091,0.2912692,0.29843235,0.30279267,0.31045616,0.31011337,0.30831763,0.3037701,0.3027421,0.3030843,0.30559584,0.3049469,0.3092069,0.30955815,0.30874538,0.30448586,0.29952627,0.29158658,0.28321466,0.27710086,0.2688357,0.2559275,0.2446886,0.2362661,0.22819953,0.22222552,0.21358775,0.20440902,0.19346651,0.18109007,0.16620678,0.14764895,0.12693524,0.10464691,0.08341057,0.06308257,0.04480711,0.031916652,0.024172492,0.021308744,0.020948742,0.02048364,0.020054784,0.018997846,0.017904988,0.0166749,0.014980488,0.01381158,0.012531971,0.011662956,0.011285936,0.010736228,0.010411226,0.010152329,0.009923314,0.009499661,0.0093093915
PalmarPinch,3,0,0.83731025,0.8263181,0.8198293,0.8106488,0.80915534,0.80414,0.7974996,0.7981188,0.79405546,0.79368556,0.7945875,0.7935606,0.79089135,0.7938505,0.78958786,0.79334116,0.7890737,0.7807724,0.7775923,0.7631465,0.7587852,0.74113065,0.7329849,0.7215726,0.7032203,0.6875479,0.6718314,0.6560053,0.64270556,0.63007975,0.62121505,0.6094978,0.59561414,0.5813438,0.57046574,0.56030345,0.5512878,0.5340447,0.5166998,0.49832767,0.4770864,0.45107985,0.4250632,0.3917194,0.35634476,0.31291863,0.27377316,0.23731628,0.20384213,0.16939814,0.13541436,0.107638255,0.08994308,0.08788257,0.102940924,0.12207048,0.15507497,0.17736334,0.20452708,0.22597164,0.23473099,0.24271078,0.2453466,0.2517839,0.26369914,0.26890352,0.26113942,0.25298232,0.24010469,0.23487808,0.21306431,0.1819021,0.14727852,0.12462938,0.117809206,0.13458134,0.18234538,0.24325468,0.3075046,0.37544674,0.4394789,0.5018712,0.55444074,0.6008916,0.64069235,0.67419684,0.6988533,0.7235859,0.74126446,0.75642115,0.76795566,0.78012687,0.78130364,0.789362,0.7845461,0.7820544,0.781537,0.7762373,0.7751846,0.7762429,0.02938417,0.030389652,0.031793106,0.03346551,0.035202518,0.037011825,0.03916926,0.042391602,0.04545299,0.04885385,0.053513575,0.05729498,0.061666455,0.06731638,0.07180449,0.07855207,0.0846455,0.08995599,0.09541176,0.10225389,0.11085185,0.11537568,0.121599644,0.12597445,0.13307974,0.13985871,0.14333552,0.14623736,0.1486769,0.15036388,0.15123515,0.15124026,0.15565461,0.16157198,0.16771121,0.1765262,0.18625009,0.19661012,0.2071361,0.22375374,0.23928942,0.2543666,0.26859307,0.28187463,0.29215845,0.2985127,0.30367842,0.30983272,0.30962673,0.30801132,0.3035962,0.30236486,0.30282992,0.3052003,0.30517432,0.30796996,0.3096322,0.3075569,0.30578473,0.29904392,0.29167327,0.28288722,0.27725667,0.26923507,0.25587565,0.24487033,0.23656516,0.22847778,0.22203943,0.2141118,0.20457025,0.19375277,0.18137045,0.1659493,0.14778115,0.12712751,0.10446081,0.08352174,0.062899664,0.044731364,0.031784736,0.024143793,0.02128072,0.020883577,0.02050758,0.02008272,0.019129809,0.017899403,0.016608601,0.015001615,0.013820453,0.012565497,0.011681126,0.011399122,0.010802327,0.010386683,0.0101673575,0.009963077,0.009574593,0.009283751
PalmarPinch,4,0,0.83655614,0.8264507,0.8188216,0.8097646,0.8095941,0.80378103,0.7978468,0.79666924,0.79409194,0.79229444,0.79317987,0.7932076,0.7936896,0.7910388,0.78936183,0.7917182,0.7906226,0.7820127,0.7799681,0.76539123,0.7564579,0.7498214,0.73295426,0.7204892,0.7017245,0.68566936,0.6715104,0.65266424,0.6435639,0.63149023,0.62044954,0.6112008,0.5945502,0.58311695,0.57508373,0.56059283,0.5500062,0.53511363,0.51802385,0.4972825,0.47849596,0.4529851,0.42302236,0.3912895,0.35511276,0.31174797,0.2735512,0.237376,0.20359021,0.16915521,0.13529237,0.10452133,0.090274386,0.08757446,0.10385615,0.1229318,0.15318748,0.17834,0.2045503,0.22567762,0.2353004,0.24343967,0.24595767,0.2535016,0.26334596,0.26890713,0.26107627,0.2536489,0.24373342,0.2325307,0.2133685,0.18176386,0.14667748,0.1246743,0.11823597,0.13484885,0.18260379,0.24217519,0.30724418,0.3743454,0.44008547,0.50204366,0.55569917,0.6021598,0.63966036,0.6769334,0.6983537,0.72383463,0.7413792,0.75678635,0.768559,0.77888775,0.7778033,0.7874871,0.784521,0.78189796,0.77883935,0.777035,0.7734532,0.7780502,0.02937489,0.030379433,0.031743377,0.033520795,0.035257563,0.037021246,0.03919363,0.04233214,0.04539023,0.04888665,0.05345209,0.057320643,0.06177887,0.06708621,0.07164896,0.07842387,0.084801584,0.09015453,0.09568035,0.10248677,0.110795245,0.11698596,0.12154884,0.12591822,0.13282087,0.13981123,0.14317259,0.145727,0.14863458,0.15074137,0.15088147,0.15148535,0.15535277,0.16180448,0.16801743,0.17645593,0.18633187,0.1964709,0.20762789,0.22322927,0.23985137,0.25568047,0.26754597,0.28199953,0.291331,0.29863855,0.3030084,0.3097418,0.31027064,0.30814078,0.3028938,0.30220923,0.3035412,0.30573848,0.3054507,0.30892193,0.30942434,0.30720735,0.30429828,0.29889625,0.29122725,0.2831344,0.2773302,0.26919872,0.25621334,0.24504547,0.23658682,0.2283887,0.22200806,0.21346329,0.20478399,0.19353141,0.18122138,0.16591533,0.14787647,0.12696189,0.10471443,0.08277678,0.062879376,0.044715498,0.03182022,0.024167782,0.02122118,0.020877281,0.020501142,0.02016699,0.019072544,0.017925575,0.016623452,0.014976013,0.013784568,0.012584202,0.011707658,0.011270399,0.010737728,0.010398514,0.010226183,0.009969392,0.009595465,0.009368199
PalmarPinch,5,0,0.83661896,0.8251394,0.82031316,0.8094946,0.8088945,0.8030544,0.7969674,0.7988633,0.7943398,0.79350156,0.7935402,0.79477143,0.79173017,0.7926655,0.79056644,0.7923404,0.7899964,0.7818039,0.77939206,0.765066,0.7584866,0.7402635,0.7335608,0.71823573,0.70426583,0.685338,0.672731,0.6545003,0.642732,0.6307336,0.62279755,0.6112135,0.59746724,0.5801646,0.57284623,0.55922353,0.5522193,0.5330198,0.5175758,0.49754226,0.47697952,0.45292678,0.4220569,0.3907484,0.35404563,0.3133602,0.27290624,0.23686829,0.20368999,0.16876611,0.13422598,0.10690429,0.09120509,0.08890874,0.10357039,0.12337302,0.1530433,0.17796068,0.2050241,0.22547163,0.23709391,0.24320123,0.24584898,0.2529542,0.26319444,0.268405,0.26053295,0.2535538,0.24172638,0.23377232,0.2125898,0.18068734,0.14715512,0.12536222,0.118272446,0.13473804,0.18247469,0.24235094,0.30650416,0.37345666,0.4406205,0.5003156,0.56094354,0.60165,0.6385753,0.6744595,0.698205,0.7227637,0.73885345,0.7568615,0.76699555,0.77848214,0.7796656,0.78297687,0.78186023,0.7820152,0.7804756,0.77504796,0.77461994,0.77731055,0.029443512,0.030348316,0.031793527,0.033484295,0.035173178,0.036960755,0.039093334,0.042366285,0.04548329,0.048913214,0.05349586,0.057400305,0.061749335,0.0673008,0.07185982,0.07846387,0.08487519,0.09014193,0.095569976,0.102557935,0.110875554,0.11509434,0.12160387,0.12574877,0.13285892,0.13983582,0.14322583,0.14593257,0.1484423,0.15066507,0.1512265,0.15157826,0.1556779,0.16159196,0.16793673,0.17663138,0.18662041,0.19622536,0.20762713,0.2236391,0.2394623,0.25496674,0.2674067,0.28215545,0.29228956,0.29827368,0.30405018,0.30923325,0.31033087,0.30780482,0.3041062,0.30195364,0.30289283,0.3055833,0.3048,0.30919832,0.31093878,0.30811715,0.30461308,0.29868394,0.29186374,0.28345248,0.2771948,0.26904172,0.25618073,0.24499775,0.2361838,0.22835529,0.22238123,0.21349211,0.20477128,0.19381616,0.18145938,0.16613002,0.14800654,0.12749071,0.10458506,0.083357826,0.06295203,0.044640996,0.031756304,0.024051765,0.021427825,0.020937355,0.020573359,0.020177966,0.019129286,0.017860608,0.016574292,0.014941782,0.013796572,0.012517734,0.011704485,0.0113136545,0.010750132,0.010447995,0.010177393,0.0099040875,0.00954929,0.009333079
PalmarPinch,6,0,0.83705807,0.82545644,0.81841004,0.8089457,0.80883765,0.8037429,0.7984712,0.7970264,0.7947136,0.7915787,0.7931498,0.79274935,0.7919312,0.7919608,0.78863627,0.7915197,0.7887055,0.78175706,0.7807015,0.76582485,0.7594659,0.7432234,0.732437,0.71666646,0.7026326,0.68434316,0.67352444,0.65233266,0.6435043,0.63000375,0.6230318,0.6116886,0.5937921,0.58381367,0.5700353,0.5605011,0.5496118,0.53454274,0.5163,0.49666718,0.47700447,0.45193535,0.42410618,0.39080876,0.35590008,0.31088066,0.27500823,0.23738107,0.20365134,0.16905175,0.13390446,0.10533355,0.09221756,0.08808624,0.102971,0.12239052,0.15489458,0.17727204,0.20585437,0.2248465,0.23563598,0.24318394,0.24516112,0.25317642,0.26398954,0.26810378,0.26123688,0.25460213,0.24111733,0.23408115,0.21189481,0.18213756,0.14607504,0.12534076,0.11891764,0.13521093,0.18177739,0.24295951,0.30704167,0.37283063,0.43959674,0.5006088,0.5578845,0.6020596,0.6400806,0.6709624,0.7006344,0.7206538,0.7401311,0.7562244,0.76658314,0.7788466,0.77875674,0.786378,0.7838088,0.78337866,0.77862406,0.7772686,0.7745865,0.77700084,0.02945653,0.030409524,0.031737875,0.033423044,0.035174515,0.03696823,0.039198533,0.04233443,0.04532798,0.048787005,0.0534332,0.057431422,0.061674424,0.06714643,0.07158801,0.0783694,0.08481113,0.090156324,0.095928125,0.10247197,0.11107829,0.11567144,0.12154316,0.12571765,0.13283166,0.13969533,0.14334635,0.14563444,0.14853305,0.15031587,0.15155895,0.1514938,0.15536545,0.16174917,0.16790687,0.1766643,0.18634722,0.19638425,0.20698394,0.22322102,0.23955369,0.2549118,0.26805252,0.28174785,0.2922673,0.29845843,0.3034425,0.30957866,0.31047302,0.30734745,0.30381998,0.30155188,0.30280846,0.3057268,0.30514333,0.3083041,0.30930343,0.30871317,0.30477792,0.29859677,0.29166397,0.28346562,0.2772702,0.26888075,0.25599653,0.24482849,0.23630436,0.22858612,0.22176355,0.21406735,0.20458928,0.19371033,0.18137328,0.16610968,0.14783089,0.12746407,0.104561515,0.08337678,0.06309355,0.044625036,0.031737532,0.024092048,0.02130349,0.020865904,0.02053322,0.020040564,0.019062104,0.017929105,0.016581926,0.014933072,0.013785346,0.012571638,0.011688621,0.011325798,0.010764391,0.010441904,0.010131443,0.009994898,0.009566692,0.009353487
PalmarPinch,7,0,0.83727634,0.8255422,0.8185816,0.80891454,0.80864936,0.80377746,0.7964273,0.79997075,0.79401195,0.7923994,0.79242593,0.794317,0.7927423,0.7933783,0.78903306,0.7934479,0.7894148,0.7815257,0.7777519,0.76698476,0.7561907,0.74233466,0.73397124,0.72052073,0.7019273,0.68488294,0.67222345,0.6527994,0.6430435,0.6301025,0.6208669,0.6110772,0.5986091,0.58131886,0.56998867,0.5613546,0.55085254,0.5352247,0.516982,0.49884114,0.4779048,0.45335805,0.42365843,0.38957176,0.35567978,0.31383374,0.27420586,0.23726697,0.20450895,0.1690134,0.13411342,0.10539563,0.090145215,0.08905214,0.10296984,0.122617535,0.15472724,0.17769496,0.20406646,0.2255114,0.23528789,0.24402045,0.24513213,0.25284785,0.2650675,0.26808384,0.26150817,0.25334603,0.24136302,0.23477183,0.2124278,0.18292668,0.14660025,0.12565978,0.11830453,0.13592695,0.18227173,0.24201153,0.30709192,0.37289694,0.43919072,0.5015656,0.5585308,0.60150975,0.63967884,0.6720596,0.7009456,0.7229726,0.7400564,0.7574189,0.76749146,0.7791798,0.78020656,0.78729665,0.78464574,0.7841967,0.7802453,0.775334,0.7756569,0.77650285,0.029332366,0.030408734,0.0317446,0.03344497,0.035251044,0.036995664,0.039088275,0.04229987,0.045458112,0.048887968,0.05343579,0.057411827,0.061735276,0.06727044,0.07174909,0.078475215,0.08481411,0.09017683,0.095588684,0.10268447,0.11078029,0.11614094,0.121591024,0.12579773,0.13273521,0.13961409,0.14311638,0.14530538,0.14847256,0.1505671,0.15102445,0.15141815,0.15591927,0.16160397,0.167879,0.1768185,0.18662567,0.1967404,0.2073933,0.2238658,0.23987365,0.25558192,0.26795647,0.28171694,0.29232055,0.2986105,0.30333117,0.30979267,0.31010237,0.3075382,0.30443048,0.3017399,0.30422667,0.30550548,0.30528262,0.30940682,0.3100491,0.30768827,0.30523467,0.29939118,0.2914389,0.2831914,0.27732602,0.2688012,0.25597033,0.24504347,0.23622125,0.22841752,0.22131544,0.21388802,0.20451467,0.1937423,0.1810742,0.1661729,0.14775877,0.1274113,0.104329795,0.083025366,0.0630589,0.044554256,0.031719297,0.0241105,0.02132258,0.020925995,0.020565223,0.020069553,0.019103976,0.017935831,0.016637081,0.015032747,0.013796664,0.0125554055,0.011686109,0.011294187,0.010780389,0.01040599,0.010141189,0.009937404,0.009555539,0.009360742
PalmarPinch,8,0,0.8371876,0.8247841,0.8187102,0.80991244,0.81074846,0.80365974,0.79861474,0.7966244,0.7935048,0.7919479,0.7933404,0.7917851,0.7916838,0.79176027,0.7895353,0.79258054,0.7903093,0.78094256,0.7809124,0.7642735,0.7572428,0.7408991,0.73221713,0.72045213,0.7020157,0.68795425,0.6725174,0.6551258,0.6435704,0.63087845,0.6219236,0.6094415,0.5954553,0.5800958,0.5727196,0.56195676,0.549525,0.53475946,0.5177363,0.49763912,0.47783664,0.4526351,0.42326054,0.3913144,0.35559326,0.3110871,0.2739226,0.23658954,0.20412187,0.16911347,0.13423413,0.105798155,0.08992744,0.08837533,0.10348933,0.12298167,0.1556985,0.17688604,0.20527169,0.22662279,0.23567571,0.2428851,0.24581558,0.25218248,0.26384154,0.2682998,0.26160574,0.25368327,0.24103223,0.23395701,0.2127072,0.18151963,0.14689317,0.124672584,0.11810777,0.13436331,0.18196891,0.24252701,0.30677834,0.3738072,0.43979934,0.500802,0.55918425,0.602475,0.63953304,0.6754969,0.69690186,0.72296435,0.74007124,0.7570064,0.7680299,0.7784973,0.77618843,0.7863756,0.7829298,0.78340775,0.7797562,0.7764989,0.774664,0.7765361,0.029417492,0.030316424,0.031753793,0.033484846,0.03527204,0.036979016,0.039262842,0.042372588,0.045316357,0.04881583,0.053403314,0.05737006,0.06161731,0.06723,0.07182389,0.07838083,0.084914505,0.0900218,0.09586861,0.10236279,0.11082271,0.115494855,0.12153419,0.12581754,0.13262215,0.13994905,0.14329909,0.14593337,0.14860345,0.15050161,0.15088324,0.15111053,0.15546598,0.16152962,0.16795376,0.17664066,0.18629485,0.19677214,0.20748034,0.22358325,0.23976456,0.25467014,0.26800644,0.28251752,0.2921227,0.29906046,0.30276895,0.30989674,0.3101494,0.307988,0.30370858,0.3025616,0.30381027,0.30597293,0.30634746,0.30774203,0.3095543,0.30855364,0.30473083,0.2987962,0.29121467,0.2833579,0.27729353,0.26885197,0.2560493,0.24485625,0.23618072,0.22821689,0.22179046,0.21393012,0.20454203,0.19369029,0.1812037,0.16595724,0.14790268,0.12723677,0.10447893,0.08310825,0.0629473,0.04464044,0.03183231,0.024101421,0.021343602,0.020879457,0.020500766,0.020136723,0.019071387,0.017918242,0.01667458,0.014932008,0.013781834,0.012579459,0.011724646,0.011311838,0.010753906,0.0103805605,0.010192258,0.009945653,0.009559311,0.009354236
PalmarPinch,9,0,0.8376671,0.82520854,0.81751657,0.8096103,0.8087689,0.8019593,0.8001419,0.79825413,0.7928,0.79121095,0.79299337,0.79455817,0.79149634,0.7910755,0.7898501,0.79229903,0.7896606,0.7811788,0.77757674,0.7666427,0.7572541,0.7388336,0.7319158,0.71887875,0.70272636,0.68401206,0.67265695,0.6527134,0.6424579,0.6310744,0.62303466,0.61172193,0.59432787,0.5818858,0.571708,0.560089,0.55217415,0.53357416,0.51810277,0.4972362,0.4765124,0.4518198,0.4245893,0.3909764,0.3547035,0.3124388,0.27409798,0.23765159,0.20400423,0.1682721,0.13366245,0.10568488,0.09091168,0.08918713,0.10293398,0.12322863,0.15482362,0.17617217,0.20447432,0.2253144,0.23591365,0.2434934,0.24603969,0.2520161,0.26423526,0.26757783,0.26193205,0.25298655,0.24258615,0.23194425,0.21370588,0.18148828,0.14660028,0.12476966,0.11884244,0.13551289,0.18159373,0.24271174,0.30685237,0.37473732,0.43989822,0.50212836,0.55864704,0.60049677,0.6408196,0.6712155,0.69640595,0.7230071,0.7406961,0.75630724,0.7672606,0.7768754,0.7783259,0.7854725,0.784707,0.781361,0.7825776,0.7744013,0.7752204,0.775153,0.029439708,0.030378526,0.031660702,0.033439904,0.035176285,0.0369131,0.03927566,0.04239299,0.04527055,0.048892483,0.0533636,0.057373438,0.061597437,0.067103416,0.07183299,0.078418784,0.084849484,0.090121135,0.09537963,0.10253345,0.11074558,0.11509485,0.12155368,0.1257601,0.13277425,0.13955157,0.14322805,0.1459584,0.1484585,0.1505295,0.15131786,0.15139748,0.15542957,0.1615092,0.16772738,0.17637123,0.18644999,0.19636393,0.20741434,0.22346705,0.23946424,0.25487316,0.26864028,0.28202316,0.29209855,0.2986628,0.3026699,0.31021398,0.30986962,0.3083395,0.30286855,0.3022426,0.30339435,0.3064567,0.3048842,0.30935368,0.309792,0.30848,0.30531543,0.29865617,0.29163596,0.28328982,0.27750137,0.26932824,0.256313,0.24496326,0.23643392,0.22833723,0.22201405,0.21355388,0.2045819,0.1937955,0.18139711,0.16615693,0.14796028,0.12743352,0.10441351,0.08303113,0.06292666,0.04466211,0.031813014,0.024127157,0.021354547,0.020873727,0.020553904,0.020028071,0.019081695,0.017885946,0.016649315,0.014946688,0.013755538,0.012546136,0.011722668,0.011309645,0.010738226,0.010402026,0.010205085,0.009876925,0.009499792,0.009336348
